col1,col2,col3,col4,col5,col6,col7,venue_type
Kamuzu Stadium,"65,000",Blantyre,Malawi,Africa,Malawi national football team,Association football,Stadium
Alamodome,"65,000",San Antonio,United States,North America,UTSA Roadrunners football San Antonio Brahmas,"American football, baseball",Stadium
Ford Field,"65,000",Detroit,United States,North America,Detroit Lions,American football,Stadium
Hammadi Agrebi Stadium,"65,000",Radès,Tunisia,Africa,Tunisia national football team,Association football,Stadium
Tripoli Stadium,"65,000",Tripoli,Libya,Africa,"Libya national football team, Al-Ahly, Al-Ittihad, Al Madina",Association football,Stadium
Vaught–Hemingway Stadium,"64,038","University, Mississippi",United States,North America,Ole Miss Rebels football,American football,Stadium
Saitama Stadium 2002,"63,700",Saitama,Japan,East Asia,Urawa Red Diamonds,Association football,Stadium
Dalian Barracuda Bay Football Stadium,"63,671","Dalian, Liaoning",China,East Asia,"Dalian Professional F.C., China national football team*",Association football,Stadium
State Farm Stadium,"63,400","Glendale, Arizona",United States,North America,Arizona Cardinals,American football,Stadium
Oakland Coliseum,"63,026","Oakland, California",United States,North America,"Oakland Athletics, Oakland Roots SC, Oakland Soul SC","Association football, baseball",Stadium
Kenan Memorial Stadium,"62,980","Chapel Hill, North Carolina",United States,North America,North Carolina Tar Heels football,American football,Stadium
Ellis Park Stadium,"62,567",Johannesburg,South Africa,Africa,"Golden Lions, Lions, Orlando Pirates F.C.","Rugby union, association football",Stadium
Veltins-Arena,"62,271",Gelsenkirchen,Germany,Europe,FC Schalke 04,Association football,Stadium
Shanxi Sports Centre Stadium,"62,000","Taiyuan, Shanxi",China,East Asia,,"Association football, athletics",Stadium
Scott Stadium,"61,500","Albemarle County, Virginia(postal address Charlottewsville)",United States,North America,Virginia Cavaliers football,American football,Stadium
Soldier Field,"61,500",Chicago,United States,North America,"Chicago Bears, Chicago Fire FC","American football, soccer",Stadium
Yale Bowl,"61,446","New Haven, Connecticut",United States,North America,Yale Bulldogs football,American football,Stadium
Ross-Ade Stadium,"61,441","West Lafayette, Indiana",United States,North America,Purdue Boilermakers football,American football,Stadium
Optus Stadium,"61,266",Perth,Australia,Oceania,"Fremantle Dockers, West Coast Eagles, Australia Wallabies, Perth Scorchers, Australia national cricket team, Western Australia cricket team*","Australian rules football, Rugby union, cricket",Stadium
Dalian Sports Center Stadium,"61,000","Dalian, Liaoning",China,East Asia,,"Association football, athletics",Stadium
L N Federal Credit Union Stadium,"61,000","Louisville, Kentucky",United States,North America,Louisville Cardinals football,American football,Stadium
Kroger Field,"61,000","Lexington, Kentucky",United States,North America,Kentucky Wildcats football,American football,Stadium
Benito Villamarín,"60,721",Seville,Spain,Europe,Real Betis,Association football,Stadium
Emirates Stadium,"60,704",London,United Kingdom,Europe,Arsenal,Association football,Stadium
Gies Memorial Stadium,"60,670","Champaign, Illinois",United States,North America,Illinois Fighting Illini football,American football,Stadium
Grêmio Arena,"60,540",Porto Alegre,Brazil,South America,Grêmio FBPA,Association football,Stadium
Mississippi Veterans Memorial Stadium,"60,492","Jackson, Mississippi",United States,North America,Jackson State Tigers,American football,Stadium
Jones AT T Stadium,"60,454","Lubbock, Texas",United States,North America,Texas Tech Red Raiders football,American football,Stadium
Shenzhen Universiade Sports Centre,"60,334",Shenzhen,China,East Asia,,Athletics,Stadium
Davis Wade Stadium,"60,311","Mississippi State, Mississippi",United States,North America,Mississippi State Bulldogs football,American football,Stadium
Stade Municipal de Kintélé,"60,055",Brazzaville,Congo,Africa,Congo national football team,Association football,Stadium
Estádio do Arruda,"60,044",Recife,Brazil,South America,Santa Cruz Futebol Clube,Association football,Stadium
Bahir Dar Stadium,"60,000",Bahir Dar,Ethiopia,Africa,"Ethiopia national football team, Bahir Dar Kenema F.C.",Association football,Stadium
